Experiment,Method,Classifier,"Train_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
96,ldbk,LDA,0.9613275613275614,0.8929537346475457
96,ldbkash,CT,1.0,0.8556608283007178
96,ldbkash,LDA,0.9105763517528224,0.802270242854796
96,ldbkemd,CT,1.0,0.8839975827913711
96,ldbkemd,LDA,0.9613275613275614,0.8879367431213078
57,original,CT,1.0,0.8471281672278032
57,original,LDA,1.0,0.695566318068987
57,ldbk,CT,1.0,0.9080283622219106
57,ldbk,LDA,0.9445382882882882,0.8832511579326866
57,ldbkash,CT,1.0,0.8370882936841499
57,ldbkash,LDA,0.8472128314927504,0.7498919426182649
57,ldbkemd,CT,1.0,0.9120088823314629
57,ldbkemd,LDA,0.9290598290598291,0.8762005293545296
8,original,CT,1.0,0.8436440546070236
8,original,LDA,1.0,0.648589065255732
8,ldbk,CT,1.0,0.8282225594398486
8,ldbk,LDA,0.8698412698412699,0.8353954964019312
8,ldbkash,CT,1.0,0.5124827763555064
8,ldbkash,LDA,0.6857142857142857,0.4892544859309602
8,ldbkemd,CT,1.0,0.9107397894219058
8,ldbkemd,LDA,0.9002141086319585,0.875305528482876
64,original,CT,1.0,0.8255625741657261
64,original,LDA,1.0,0.6455958084895581
64,ldbk,CT,1.0,0.8904686053669011
64,ldbk,LDA,0.8952380952380953,0.8997080340469168
64,ldbkash,CT,1.0,0.6526666483057462
64,ldbkash,LDA,0.7183151845130067,0.5289950649506494
64,ldbkemd,CT,1.0,0.928801702969315
