Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
82,original,LDA,0.0,0.3533533533533533
82,ldbk,CT,0.0,0.0960960960960961
82,ldbk,LDA,0.08080808080808081,0.12912912912912913
82,ldbkash,CT,0.0,0.15915915915915915
82,ldbkash,LDA,0.0707070707070707,0.15915915915915915
82,ldbkemd,CT,0.0,0.09109109109109109
82,ldbkemd,LDA,0.08080808080808081,0.12512512512512514
12,original,CT,0.0,0.14214214214214213
12,original,LDA,0.0,0.2832832832832833
12,ldbk,CT,0.0,0.13513513513513514
12,ldbk,LDA,0.1111111111111111,0.14314314314314314
12,ldbkash,CT,0.0,0.2962962962962963
12,ldbkash,LDA,0.2828282828282828,0.42742742742742745
12,ldbkemd,CT,0.0,0.1041041041041041
12,ldbkemd,LDA,0.1111111111111111,0.13013013013013014
79,original,CT,0.0,0.18218218218218218
79,original,LDA,0.0,0.3163163163163163
79,ldbk,CT,0.0,0.06006006006006006
79,ldbk,LDA,0.06060606060606061,0.12612612612612611
79,ldbkash,CT,0.0,0.22622622622622623
79,ldbkash,LDA,0.1717171717171717,0.32232232232232233
79,ldbkemd,CT,0.0,0.12312312312312312
79,ldbkemd,LDA,0.06060606060606061,0.12512512512512514
20,original,CT,0.0,0.19019019019019018
20,original,LDA,0.0,0.4174174174174174
20,ldbk,CT,0.0,0.12412412412412413
20,ldbk,LDA,0.12121212121212122,0.1001001001001001
20,ldbkash,CT,0.0,0.36936936936936937
20,ldbkash,LDA,0.3333333333333333,0.4244244244244244
20,ldbkemd,CT,0.0,0.11411411411411411
20,ldbkemd,LDA,0.1111111111111111,0.10810810810810811
6,original,CT,0.0,0.14514514514514515
6,original,LDA,0.0,0.37537537537537535
6,ldbk,CT,0.0,0.12512512512512514
6,ldbk,LDA,0.09090909090909091,0.14514514514514515
6,ldbkash,CT,0.0,0.15215215215215216
6,ldbkash,LDA,0.1111111111111111,0.16716716716716717
6,ldbkemd,CT,0.0,0.0960960960960961
6,ldbkemd,LDA,0.10101010101010101,0.14514514514514515
84,original,CT,0.0,0.15215215215215216
84,original,LDA,0.0,0.33433433433433435
84,ldbk,CT,0.0,0.08808808808808809
84,ldbk,LDA,0.0707070707070707,0.12312312312312312
84,ldbkash,CT,0.0,0.33933933933933935
84,ldbkash,LDA,0.21212121212121213,0.4344344344344344
84,ldbkemd,CT,0.0,0.09309309309309309
84,ldbkemd,LDA,0.0707070707070707,0.12312312312312312
80,original,CT,0.0,0.1971971971971972
80,original,LDA,0.0,0.3073073073073073
80,ldbk,CT,0.0,0.09309309309309309
80,ldbk,LDA,0.06060606060606061,0.13013013013013014
80,ldbkash,CT,0.0,0.2702702702702703
80,ldbkash,LDA,0.29292929292929293,0.4044044044044044
80,ldbkemd,CT,0.0,0.06106106106106106
80,ldbkemd,LDA,0.06060606060606061,0.12912912912912913
98,original,CT,0.0,0.16816816816816818
98,original,LDA,0.0,0.25125125125125125
98,ldbk,CT,0.0,0.13213213213213212
98,ldbk,LDA,0.0707070707070707,0.1031031031031031
98,ldbkash,CT,0.0,0.23323323323323322
98,ldbkash,LDA,0.25252525252525254,0.5025025025025025
98,ldbkemd,CT,0.0,0.06306306306306306
98,ldbkemd,LDA,0.09090909090909091,0.1041041041041041
